Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,LeBron James,635,3,6,0.5,0,0,,2,3,0.667,0,2,2,0,0,0,2,0,8,-2
0,Q2,LeBron James,720,5,9,0.556,0,1,0.0,2,3,0.667,0,4,4,2,0,0,0,0,12,8
0,H1,LeBron James,1355,8,15,0.533,0,1,0.0,4,6,0.667,0,6,6,2,0,0,2,0,20,6
0,Q3,LeBron James,609,3,4,0.75,0,0,,0,0,,0,1,1,2,1,2,2,1,6,5
0,Q4,LeBron James,720,2,6,0.333,1,2,0.5,2,3,0.667,0,3,3,0,3,0,0,0,7,-7
0,H2,LeBron James,1329,5,10,0.5,1,2,0.5,2,3,0.667,0,4,4,2,4,2,2,1,13,-2
0,Q1,Kyrie Irving,720,4,8,0.5,0,3,0.0,2,2,1.0,0,0,0,0,0,1,0,1,10,-2
0,Q2,Kyrie Irving,272,0,1,0.0,0,0,,0,0,,0,0,0,0,0,1,0,0,0,3
0,H1,Kyrie Irving,992,4,9,0.444,0,3,0.0,2,2,1.0,0,0,0,0,0,2,0,1,10,1
0,Q3,Kyrie Irving,720,5,9,0.556,1,2,0.5,5,5,1.0,0,0,0,0,0,1,0,1,16,5
0,Q4,Kyrie Irving,489,1,7,0.143,0,2,0.0,0,0,,2,0,2,0,1,0,1,0,2,-2
0,H2,Kyrie Irving,1209,6,16,0.375,1,4,0.25,5,5,1.0,2,0,2,0,1,1,1,1,18,3
0,Q1,Kevin Love,635,0,5,0.0,0,2,0.0,0,0,,2,6,8,0,0,1,1,0,0,-2
0,Q2,Kevin Love,272,1,3,0.333,0,0,,0,0,,1,2,3,2,0,0,0,0,2,3
0,H1,Kevin Love,907,1,8,0.125,0,2,0.0,0,0,,3,8,11,2,0,1,1,0,2,1
0,Q3,Kevin Love,720,1,4,0.25,1,2,0.5,0,0,,0,2,2,1,0,0,2,1,3,5
0,Q4,Kevin Love,470,0,1,0.0,0,1,0.0,0,0,,2,1,3,0,0,0,1,0,0,-3
0,H2,Kevin Love,1190,1,5,0.2,1,3,0.333,0,0,,2,3,5,1,0,0,3,1,3,2
0,Q1,Tristan Thompson,720,1,2,0.5,0,0,,0,0,,2,0,2,0,1,0,0,1,2,-2
0,Q2,Tristan Thompson,272,0,1,0.0,0,0,,0,0,,0,2,2,1,0,0,0,0,0,3
0,H1,Tristan Thompson,992,1,3,0.333,0,0,,0,0,,2,2,4,1,1,0,0,1,2,1
0,Q3,Tristan Thompson,720,1,3,0.333,0,0,,0,0,,5,2,7,0,0,0,1,2,2,5
0,Q4,Tristan Thompson,335,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,2,-7
0,H2,Tristan Thompson,1055,1,3,0.333,0,0,,2,2,1.0,5,2,7,0,0,0,1,2,4,-2
0,Q1,J.R. Smith,635,1,1,1.0,0,0,,0,0,,0,1,1,0,1,0,1,1,2,-2
0,Q2,J.R. Smith,56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1
0,H1,J.R. Smith,691,1,1,1.0,0,0,,0,0,,0,1,1,0,1,0,1,3,2,-3
0,Q3,J.R. Smith,609,1,3,0.333,1,3,0.333,0,0,,0,1,1,0,0,1,0,0,3,5
0,Q4,J.R. Smith,429,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-4
0,H2,J.R. Smith,1038,1,3,0.333,1,3,0.333,0,0,,0,1,1,0,1,1,1,0,3,1
0,Q1,Kyle Korver,85,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q2,Kyle Korver,448,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,1,0,3,5
0,H1,Kyle Korver,533,1,3,0.333,1,3,0.333,0,0,,0,0,0,0,0,0,1,0,3,5
0,Q3,Kyle Korver,111,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
0,Q4,Kyle Korver,445,0,2,0.0,0,2,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,2
0,H2,Kyle Korver,556,0,2,0.0,0,2,0.0,2,2,1.0,0,3,3,0,0,0,0,0,2,2
0,Q1,Iman Shumpert,85,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0
0,Q2,Iman Shumpert,664,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,0,9
0,H1,Iman Shumpert,749,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,1,0,0,1,0,9
0,Q3,Iman Shumpert,
0,Q4,Iman Shumpert,250,1,3,0.333,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,-4
0,H2,Iman Shumpert,250,1,3,0.333,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,-4
0,Q1,Deron Williams,
0,Q2,Deron Williams,448,3,3,1.0,2,2,1.0,4,5,0.8,1,1,2,1,0,0,0,2,12,5
0,H1,Deron Williams,448,3,3,1.0,2,2,1.0,4,5,0.8,1,1,2,1,0,0,0,2,12,5
0,Q3,Deron Williams,111,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q4,Deron Williams,231,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-5
0,H2,Deron Williams,342,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-5
0,Q1,Channing Frye,85,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q2,Channing Frye,448,2,3,0.667,1,2,0.5,2,2,1.0,0,1,1,0,0,1,0,0,7,5
0,H1,Channing Frye,533,2,3,0.667,1,2,0.5,2,2,1.0,0,1,1,0,0,1,0,0,7,5
0,Q3,Channing Frye,
0,Q4,Channing Frye,231,0,1,0.0,0,1,0.0,0,0,,0,0,0,2,0,0,0,0,0,-5
0,H2,Channing Frye,231,0,1,0.0,0,1,0.0,0,0,,0,0,0,2,0,0,0,0,0,-5
0,Q1,Richard Jefferson,
0,Q2,Richard Jefferson,
0,H1,Richard Jefferson,
0,Q3,Richard Jefferson,
0,Q4,Richard Jefferson,
0,H2,Richard Jefferson,
0,Q1,Dahntay Jones,
0,Q2,Dahntay Jones,
0,H1,Dahntay Jones,
0,Q3,Dahntay Jones,
0,Q4,Dahntay Jones,
0,H2,Dahntay Jones,
0,Q1,James Jones,
0,Q2,James Jones,
0,H1,James Jones,
0,Q3,James Jones,
0,Q4,James Jones,
0,H2,James Jones,
0,Q1,Derrick Williams,
0,Q2,Derrick Williams,
0,H1,Derrick Williams,
0,Q3,Derrick Williams,
0,Q4,Derrick Williams,
0,H2,Derrick Williams,
1,Q1,Paul George,635,2,6,0.333,1,2,0.5,0,0,,2,1,3,2,3,0,1,1,5,2
1,Q2,Paul George,671,0,4,0.0,0,2,0.0,1,2,0.5,0,2,2,1,0,1,0,2,1,-10
1,H1,Paul George,1306,2,10,0.2,1,4,0.25,1,2,0.5,2,3,5,3,3,1,1,3,6,-8
1,Q3,Paul George,609,2,5,0.4,1,2,0.5,1,1,1.0,0,1,1,1,0,0,0,0,6,-5
1,Q4,Paul George,720,1,6,0.167,1,3,0.333,0,0,,0,1,1,2,1,0,3,0,3,7
1,H2,Paul George,1329,3,11,0.273,2,5,0.4,1,1,1.0,0,2,2,3,1,0,3,0,9,2
1,Q1,Jeff Teague,720,3,4,0.75,0,0,,0,0,,0,1,1,2,0,1,1,1,6,2
1,Q2,Jeff Teague,408,1,3,0.333,0,1,0.0,2,2,1.0,0,1,1,4,0,0,0,0,4,-2
1,H1,Jeff Teague,1128,4,7,0.571,0,1,0.0,2,2,1.0,0,2,2,6,0,1,1,1,10,0
1,Q3,Jeff Teague,720,1,3,0.333,0,0,,0,1,0.0,0,0,0,3,1,0,1,1,2,-5
1,Q4,Jeff Teague,489,1,2,0.5,1,2,0.5,0,0,,0,2,2,1,1,2,1,0,3,2
1,H2,Jeff Teague,1209,2,5,0.4,1,2,0.5,0,1,0.0,0,2,2,4,2,2,2,1,5,-3
1,Q1,Thaddeus Young,555,0,2,0.0,0,0,,1,2,0.5,1,1,2,1,0,0,0,0,1,2
1,Q2,Thaddeus Young,272,1,2,0.5,0,0,,0,0,,1,3,4,0,0,0,0,0,2,-3
1,H1,Thaddeus Young,827,1,4,0.25,0,0,,1,2,0.5,2,4,6,1,0,0,0,0,3,-1
1,Q3,Thaddeus Young,720,3,7,0.429,0,0,,0,0,,1,1,2,0,2,0,0,0,6,-5
1,Q4,Thaddeus Young,489,2,3,0.667,0,1,0.0,0,0,,1,1,2,1,0,0,1,1,4,2
1,H2,Thaddeus Young,1209,5,10,0.5,0,1,0.0,0,0,,2,2,4,1,2,0,1,1,10,-3
1,Q1,Myles Turner,386,1,1,1.0,0,0,,0,0,,0,2,2,0,0,0,2,2,2,3
1,Q2,Myles Turner,337,3,3,1.0,0,0,,1,2,0.5,0,2,2,0,0,0,1,1,7,2
1,H1,Myles Turner,723,4,4,1.0,0,0,,1,2,0.5,0,4,4,0,0,0,3,3,9,5
1,Q3,Myles Turner,550,2,3,0.667,0,1,0.0,1,2,0.5,0,2,2,0,0,0,0,0,5,-4
1,Q4,Myles Turner,720,2,3,0.667,0,1,0.0,2,2,1.0,0,3,3,0,0,0,0,1,6,7
1,H2,Myles Turner,1270,4,6,0.667,0,2,0.0,3,4,0.75,0,5,5,0,0,0,0,1,11,3
1,Q1,C.J. Miles,422,1,3,0.333,1,3,0.333,0,0,,0,1,1,0,0,0,0,0,3,3
1,Q2,C.J. Miles,447,0,1,0.0,0,1,0.0,0,0,,1,1,2,0,0,0,0,1,0,0
1,H1,C.J. Miles,869,1,4,0.25,1,4,0.25,0,0,,1,2,3,0,0,0,0,1,3,3
1,Q3,C.J. Miles,384,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1,Q4,C.J. Miles,250,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,1,0,1,3,4
1,H2,C.J. Miles,634,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,1,0,1,3,4
1,Q1,Lance Stephenson,298,2,5,0.4,1,3,0.333,0,0,,0,1,1,0,0,0,0,0,5,-1
1,Q2,Lance Stephenson,476,3,4,0.75,3,4,0.75,0,0,,0,1,1,2,0,0,1,3,9,-5
1,H1,Lance Stephenson,774,5,9,0.556,4,7,0.571,0,0,,0,2,2,2,0,0,1,3,14,-6
1,Q3,Lance Stephenson,336,2,4,0.5,0,2,0.0,0,0,,0,0,0,0,0,0,0,0,4,-5
1,Q4,Lance Stephenson,701,2,2,1.0,0,0,,0,1,0.0,0,4,4,1,0,0,1,3,4,8
1,H2,Lance Stephenson,1037,4,6,0.667,0,2,0.0,0,1,0.0,0,4,4,1,0,0,1,3,8,3
1,Q1,Kevin Séraphin,334,1,2,0.5,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-1
1,Q2,Kevin Séraphin,383,0,2,0.0,0,0,,0,0,,1,0,1,0,0,1,0,1,0,-10
1,H1,Kevin Séraphin,717,1,4,0.25,0,0,,0,0,,2,0,2,0,0,1,0,1,2,-11
1,Q3,Kevin Séraphin,170,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-1
1,Q4,Kevin Séraphin,
1,H2,Kevin Séraphin,170,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-1
1,Q1,Glenn Robinson III,85,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1,Q2,Glenn Robinson III,361,2,2,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,4,-4
