Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Brandon Ingram,548,2,5,0.4,0,1,0.0,2,2,1.0,0,2,2,3,0,0,0,0,6,8
0,Q2,Brandon Ingram,497,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,0,1,2,-9
0,H1,Brandon Ingram,1045,3,6,0.5,0,1,0.0,2,2,1.0,0,3,3,4,0,0,0,1,8,-1
0,Q3,Brandon Ingram,556,3,4,0.75,0,0,,1,2,0.5,0,1,1,1,0,0,0,0,7,-9
0,Q4,Brandon Ingram,418,1,3,0.333,0,1,0.0,0,0,,0,2,2,2,0,0,0,0,2,3
0,H2,Brandon Ingram,974,4,7,0.571,0,1,0.0,1,2,0.5,0,3,3,3,0,0,0,0,9,-6
0,Q1,Lonzo Ball,544,0,2,0.0,0,2,0.0,0,0,,0,1,1,2,2,1,0,1,0,3
0,Q2,Lonzo Ball,442,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,2,1,0,-7
0,H1,Lonzo Ball,986,0,3,0.0,0,2,0.0,0,0,,0,2,2,3,2,1,2,2,0,-4
0,Q3,Lonzo Ball,531,0,2,0.0,0,1,0.0,0,0,,0,3,3,0,0,0,0,0,0,-6
0,Q4,Lonzo Ball,176,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,2,0,1
0,H2,Lonzo Ball,707,0,2,0.0,0,1,0.0,0,0,,0,3,3,1,0,0,1,2,0,-5
0,Q1,Kyle Kuzma,480,0,4,0.0,0,1,0.0,0,0,,0,3,3,0,0,0,1,0,0,5
0,Q2,Kyle Kuzma,442,2,2,1.0,0,0,,0,0,,0,2,2,0,0,0,3,2,4,-7
0,H1,Kyle Kuzma,922,2,6,0.333,0,1,0.0,0,0,,0,5,5,0,0,0,4,2,4,-2
0,Q3,Kyle Kuzma,531,1,2,0.5,1,2,0.5,1,2,0.5,0,1,1,0,0,2,1,0,4,-6
