Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Jamal Murray,500,2,5,0.4,0,2,0.0,0,0,,1,3,4,3,0,0,0,0,4,-4
0,Q2,Jamal Murray,669,3,5,0.6,1,1,1.0,0,0,,0,1,1,2,0,1,1,1,7,8
0,H1,Jamal Murray,1169,5,10,0.5,1,3,0.333,0,0,,1,4,5,5,0,1,1,1,11,4
0,Q3,Jamal Murray,495,2,3,0.667,1,2,0.5,0,0,,0,1,1,2,0,0,3,1,5,-8
0,Q4,Jamal Murray,510,0,1,0.0,0,0,,1,2,0.5,1,1,2,2,0,0,1,1,1,-4
0,H2,Jamal Murray,1005,2,4,0.5,1,2,0.5,1,2,0.5,1,2,3,4,0,0,4,2,6,-12
0,Q1,Gary Harris,628,4,5,0.8,1,2,0.5,0,0,,0,0,0,4,1,0,2,0,9,6
0,Q2,Gary Harris,382,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,1,0,1,1,0,-5
0,H1,Gary Harris,1010,4,6,0.667,1,3,0.333,0,0,,0,0,0,4,2,0,3,1,9,1
0,Q3,Gary Harris,594,1,4,0.25,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,2,-9
0,Q4,Gary Harris,480,1,6,0.167,1,2,0.5,0,0,,0,0,0,1,0,0,0,1,3,-4
0,H2,Gary Harris,1074,2,10,0.2,1,3,0.333,0,0,,0,0,0,2,0,0,0,2,5,-13
0,Q1,Nikola Jokić,588,3,6,0.5,0,1,0.0,0,0,,2,0,2,1,0,0,0,0,6,6
0,Q2,Nikola Jokić,382,1,2,0.5,1,1,1.0,0,0,,0,1,1,2,1,0,0,0,3,-5
0,H1,Nikola Jokić,970,4,8,0.5,1,2,0.5,0,0,,2,1,3,3,1,0,0,0,9,1
0,Q3,Nikola Jokić,594,2,7,0.286,1,4,0.25,0,0,,0,1,1,2,0,0,2,0,5,-9
0,Q4,Nikola Jokić,390,2,3,0.667,1,2,0.5,1,1,1.0,1,0,1,0,0,0,1,1,6,-8
0,H2,Nikola Jokić,984,4,10,0.4,2,6,0.333,1,1,1.0,1,1,2,2,0,0,3,1,11,-17
0,Q1,Juancho Hernangómez,599,1,4,0.25,1,2,0.5,0,0,,0,4,4,0,1,0,0,1,3,7
0,Q2,Juancho Hernangómez,367,1,4,0.25,0,1,0.0,1,1,1.0,1,0,1,0,0,0,0,0,3,-5
0,H1,Juancho Hernangómez,966,2,8,0.25,1,3,0.333,1,1,1.0,1,4,5,0,1,0,0,1,6,2
0,Q3,Juancho Hernangómez,298,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,3,0,-4
0,Q4,Juancho Hernangómez,480,0,2,0.0,0,2,0.0,0,0,,1,0,1,0,0,0,0,1,0,-4
0,H2,Juancho Hernangómez,778,0,2,0.0,0,2,0.0,0,0,,2,0,2,0,0,0,1,4,0,-8
0,Q1,Paul Millsap,543,1,3,0.333,0,1,0.0,0,0,,1,3,4,1,0,1,1,1,2,3
0,Q2,Paul Millsap,382,1,3,0.333,0,2,0.0,0,0,,0,1,1,0,0,0,0,1,2,-5
0,H1,Paul Millsap,925,2,6,0.333,0,3,0.0,0,0,,1,4,5,1,0,1,1,2,4,-2
0,Q3,Paul Millsap,535,1,2,0.5,0,0,,2,2,1.0,1,2,3,0,1,0,0,1,4,-5
0,Q4,Paul Millsap,270,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,0,-3
0,H2,Paul Millsap,805,1,3,0.333,0,1,0.0,2,2,1.0,1,3,4,1,1,0,0,1,4,-8
0,Q1,Monte Morris,312,1,2,0.5,0,1,0.0,0,0,,0,0,0,1,0,0,1,0,2,6
0,Q2,Monte Morris,389,1,1,1.0,0,0,,0,0,,0,1,1,2,0,0,0,0,2,9
0,H1,Monte Morris,701,2,3,0.667,0,1,0.0,0,0,,0,1,1,3,0,0,1,0,4,15
0,Q3,Monte Morris,351,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,0,1,2,-5
0,Q4,Monte Morris,450,2,5,0.4,0,1,0.0,0,0,,0,2,2,0,0,0,0,1,4,-2
0,H2,Monte Morris,801,3,6,0.5,0,1,0.0,0,0,,0,2,2,1,0,0,0,2,6,-7
0,Q1,Malik Beasley,121,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,0,0,-3
0,Q2,Malik Beasley,353,2,3,0.667,2,3,0.667,0,0,,0,1,1,1,0,0,0,0,6,11
0,H1,Malik Beasley,474,2,3,0.667,2,3,0.667,0,0,,0,2,2,2,1,0,0,0,6,8
0,Q3,Malik Beasley,422,1,2,0.5,1,2,0.5,0,0,,0,2,2,0,0,0,0,0,3,-7
0,Q4,Malik Beasley,450,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,-2
0,H2,Malik Beasley,872,2,4,0.5,2,4,0.5,0,0,,0,2,2,0,0,0,0,0,6,-9
0,Q1,Trey Lyles,177,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,1
0,Q2,Trey Lyles,338,2,4,0.5,0,2,0.0,0,0,,0,2,2,1,0,0,1,1,4,11
0,H1,Trey Lyles,515,2,5,0.4,0,3,0.0,0,0,,0,2,2,1,0,0,1,1,4,12
0,Q3,Trey Lyles,185,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-6
0,Q4,Trey Lyles,240,1,2,0.5,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,2,-1
0,H2,Trey Lyles,425,1,3,0.333,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,2,-7
0,Q1,Mason Plumlee,132,1,1,1.0,0,0,,1,2,0.5,0,1,1,0,0,0,0,1,3,-2
0,Q2,Mason Plumlee,338,0,0,,0,0,,0,0,,1,1,2,0,0,1,2,1,0,11
0,H1,Mason Plumlee,470,1,1,1.0,0,0,,1,2,0.5,1,2,3,0,0,1,2,2,3,9
0,Q3,Mason Plumlee,126,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,Q4,Mason Plumlee,330,1,2,0.5,0,0,,0,0,,2,0,2,1,0,1,0,0,2,3
0,H2,Mason Plumlee,456,1,2,0.5,0,0,,0,0,,2,0,2,1,0,1,0,0,2,1
0,Q1,DeVaughn Akoon-Purcell,
0,Q2,DeVaughn Akoon-Purcell,
0,H1,DeVaughn Akoon-Purcell,
0,Q3,DeVaughn Akoon-Purcell,
0,Q4,DeVaughn Akoon-Purcell,
0,H2,DeVaughn Akoon-Purcell,
0,Q1,Torrey Craig,
0,Q2,Torrey Craig,
0,H1,Torrey Craig,
0,Q3,Torrey Craig,
0,Q4,Torrey Craig,
0,H2,Torrey Craig,
0,Q1,Tyler Lydon,
0,Q2,Tyler Lydon,
0,H1,Tyler Lydon,
0,Q3,Tyler Lydon,
0,Q4,Tyler Lydon,
0,H2,Tyler Lydon,
0,Q1,Thomas Welsh,
0,Q2,Thomas Welsh,
0,H1,Thomas Welsh,
0,Q3,Thomas Welsh,
0,Q4,Thomas Welsh,
0,H2,Thomas Welsh,
1,Q1,Giannis Antetokounmpo,585,3,5,0.6,0,1,0.0,2,4,0.5,0,1,1,2,0,0,2,1,8,1
1,Q2,Giannis Antetokounmpo,560,2,4,0.5,0,1,0.0,0,0,,0,1,1,2,0,0,1,0,4,-7
1,H1,Giannis Antetokounmpo,1145,5,9,0.556,0,2,0.0,2,4,0.5,0,2,2,4,0,0,3,1,12,-6
1,Q3,Giannis Antetokounmpo,720,7,11,0.636,0,2,0.0,1,2,0.5,1,3,4,1,1,0,1,2,15,11
1,Q4,Giannis Antetokounmpo,504,1,5,0.2,0,2,0.0,0,0,,2,4,6,1,1,0,0,0,2,6
1,H2,Giannis Antetokounmpo,1224,8,16,0.5,0,4,0.0,1,2,0.5,3,7,10,2,2,0,1,2,17,17
1,Q1,Khris Middleton,543,2,6,0.333,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,4,-3
1,Q2,Khris Middleton,568,1,2,0.5,0,1,0.0,0,0,,0,2,2,1,2,0,0,0,2,-1
1,H1,Khris Middleton,1111,3,8,0.375,0,2,0.0,0,0,,0,2,2,1,2,0,0,1,6,-4
1,Q3,Khris Middleton,494,0,3,0.0,0,3,0.0,4,4,1.0,0,2,2,0,0,0,0,1,4,3
1,Q4,Khris Middleton,606,1,4,0.25,1,3,0.333,0,0,,1,1,2,4,0,0,0,0,3,7
1,H2,Khris Middleton,1100,1,7,0.143,1,6,0.167,4,4,1.0,1,3,4,4,0,0,0,1,7,10
1,Q1,Eric Bledsoe,588,2,3,0.667,0,0,,1,1,1.0,1,1,2,2,1,0,2,0,5,-6
1,Q2,Eric Bledsoe,357,1,2,0.5,0,1,0.0,1,4,0.25,1,1,2,0,0,0,0,0,3,-2
1,H1,Eric Bledsoe,945,3,5,0.6,0,1,0.0,2,5,0.4,2,2,4,2,1,0,2,0,8,-8
1,Q3,Eric Bledsoe,720,3,3,1.0,1,1,1.0,0,0,,0,1,1,1,1,0,2,0,7,11
1,Q4,Eric Bledsoe,450,2,2,1.0,2,2,1.0,2,4,0.5,0,0,0,2,1,0,0,1,8,4
1,H2,Eric Bledsoe,1170,5,5,1.0,3,3,1.0,2,4,0.5,0,1,1,3,2,0,2,1,15,15
1,Q1,Brook Lopez,543,1,4,0.25,0,1,0.0,0,0,,1,6,7,0,0,0,1,0,2,-3
1,Q2,Brook Lopez,382,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,2,0,0,2,3,5
1,H1,Brook Lopez,925,2,6,0.333,1,3,0.333,0,0,,1,6,7,0,2,0,1,2,5,2
1,Q3,Brook Lopez,462,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,1,0,0,0,4
1,Q4,Brook Lopez,606,1,2,0.5,1,2,0.5,0,0,,0,2,2,0,0,2,0,1,3,7
1,H2,Brook Lopez,1068,1,4,0.25,1,4,0.25,0,0,,0,3,3,0,0,3,0,1,3,11
1,Q1,Malcolm Brogdon,427,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0
1,Q2,Malcolm Brogdon,363,2,4,0.5,0,0,,0,0,,0,2,2,2,0,0,1,0,4,-4
1,H1,Malcolm Brogdon,790,2,6,0.333,0,1,0.0,0,0,,0,2,2,2,0,0,1,0,4,-4
1,Q3,Malcolm Brogdon,462,1,2,0.5,0,0,,2,3,0.667,1,1,2,1,0,0,0,0,4,4
1,Q4,Malcolm Brogdon,580,2,3,0.667,1,1,1.0,0,0,,0,4,4,0,0,0,2,0,5,0
1,H2,Malcolm Brogdon,1042,3,5,0.6,1,1,1.0,2,3,0.667,1,5,6,1,0,0,2,0,9,4
1,Q1,Ersan İlyasova,312,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,1,3,-6
1,Q2,Ersan İlyasova,277,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,1
1,H1,Ersan İlyasova,589,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,0,1,3,-5
1,Q3,Ersan İlyasova,258,1,2,0.5,0,0,,0,0,,2,0,2,0,0,0,0,0,2,7
1,Q4,Ersan İlyasova,270,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,1,2,3,1
1,H2,Ersan İlyasova,528,2,4,0.5,1,1,1.0,0,0,,2,1,3,0,0,0,1,2,5,8
1,Q1,Tony Snell,177,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1
1,Q2,Tony Snell,485,1,3,0.333,1,2,0.5,0,0,,1,1,2,0,0,0,1,0,3,-9
1,H1,Tony Snell,662,1,4,0.25,1,3,0.333,0,0,,1,1,2,0,0,0,1,0,3,-10
1,Q3,Tony Snell,226,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,8
1,Q4,Tony Snell,219,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,2
1,H2,Tony Snell,445,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,10
1,Q1,Pat Connaughton,425,1,1,1.0,1,1,1.0,0,0,,0,1,1,2,0,0,0,0,3,-2
1,Q2,Pat Connaughton,30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1,H1,Pat Connaughton,455,1,1,1.0,1,1,1.0,0,0,,0,1,1,2,0,0,0,0,3,-2
1,Q3,Pat Connaughton,258,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,7
1,Q4,Pat Connaughton,365,1,2,0.5,0,1,0.0,0,0,,1,0,1,0,0,0,0,1,2,-2
1,H2,Pat Connaughton,623,1,2,0.5,0,1,0.0,0,0,,1,1,2,0,0,0,0,1,2,5
1,Q1,Sterling Brown,
1,Q2,Sterling Brown,357,1,4,0.25,0,2,0.0,0,0,,1,0,1,0,0,0,1,2,2,-2
1,H1,Sterling Brown,357,1,4,0.25,0,2,0.0,0,0,,1,0,1,0,0,0,1,2,2,-2
1,Q3,Sterling Brown,
1,Q4,Sterling Brown,
1,H2,Sterling Brown,
1,Q1,Thon Maker,
1,Q2,Thon Maker,221,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-11
1,H1,Thon Maker,221,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-11
1,Q3,Thon Maker,
1,Q4,Thon Maker,
1,H2,Thon Maker,
1,Q1,Matthew Dellavedova,
1,Q2,Matthew Dellavedova,
1,H1,Matthew Dellavedova,
1,Q3,Matthew Dellavedova,
1,Q4,Matthew Dellavedova,
1,H2,Matthew Dellavedova,
1,Q1,Jaylen Morris,
1,Q2,Jaylen Morris,
1,H1,Jaylen Morris,
1,Q3,Jaylen Morris,
1,Q4,Jaylen Morris,
1,H2,Jaylen Morris,
1,Q1,Christian Wood,
1,Q2,Christian Wood,
1,H1,Christian Wood,
1,Q3,Christian Wood,
1,Q4,Christian Wood,
1,H2,Christian Wood,
