Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Jaylen Brown,613,2,4,0.5,2,2,1.0,0,0,,1,2,3,0,1,0,2,0,6,-9
0,Q2,Jaylen Brown,364,1,2,0.5,0,1,0.0,0,0,,0,1,1,0,0,0,1,0,2,-2
0,H1,Jaylen Brown,977,3,6,0.5,2,3,0.667,0,0,,1,3,4,0,1,0,3,0,8,-11
0,Q3,Jaylen Brown,674,4,7,0.571,2,4,0.5,0,0,,0,2,2,0,0,0,1,0,10,8
0,Q4,Jaylen Brown,472,0,3,0.0,0,0,,0,0,,0,2,2,0,1,0,0,1,0,-2
0,H2,Jaylen Brown,1146,4,10,0.4,2,4,0.5,0,0,,0,4,4,0,1,0,1,1,10,6
0,Q1,Marcus Smart,613,1,5,0.2,0,3,0.0,0,0,,0,0,0,2,0,0,0,1,2,-9
0,Q2,Marcus Smart,294,1,3,0.333,1,3,0.333,0,0,,0,0,0,2,0,0,0,0,3,2
0,H1,Marcus Smart,907,2,8,0.25,1,6,0.167,0,0,,0,0,0,4,0,0,0,1,5,-7
0,Q3,Marcus Smart,574,0,3,0.0,0,1,0.0,0,0,,0,2,2,3,1,0,0,0,0,6
0,Q4,Marcus Smart,472,0,5,0.0,0,1,0.0,0,0,,1,2,3,2,0,0,0,2,0,-2
0,H2,Marcus Smart,1046,0,8,0.0,0,2,0.0,0,0,,1,4,5,5,1,0,0,2,0,4
0,Q1,Kemba Walker,541,2,5,0.4,0,2,0.0,0,0,,0,1,1,3,0,0,0,0,4,-7
0,Q2,Kemba Walker,294,1,2,0.5,0,1,0.0,2,2,1.0,0,0,0,1,0,0,1,0,4,2
0,H1,Kemba Walker,835,3,7,0.429,0,3,0.0,2,2,1.0,0,1,1,4,0,0,1,0,8,-5
0,Q3,Kemba Walker,674,2,4,0.5,0,0,,3,3,1.0,0,0,0,4,1,0,1,0,7,8
0,Q4,Kemba Walker,411,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3
0,H2,Kemba Walker,1085,2,5,0.4,0,0,,3,3,1.0,0,0,0,5,1,0,1,0,7,5
0,Q1,Jayson Tatum,430,1,2,0.5,0,1,0.0,0,0,,0,1,1,0,0,1,0,0,2,-2
0,Q2,Jayson Tatum,356,1,2,0.5,0,0,,0,0,,0,4,4,1,0,0,1,0,2,10
0,H1,Jayson Tatum,786,2,4,0.5,0,1,0.0,0,0,,0,5,5,1,0,1,1,0,4,8
0,Q3,Jayson Tatum,494,0,2,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,0,7
0,Q4,Jayson Tatum,535,4,7,0.571,1,2,0.5,1,1,1.0,0,0,0,0,0,0,0,0,10,-3
0,H2,Jayson Tatum,1029,4,9,0.444,1,3,0.333,1,1,1.0,0,1,1,1,0,0,0,0,10,4
0,Q1,Daniel Theis,323,1,2,0.5,0,0,,1,1,1.0,0,2,2,0,0,0,1,0,3,1
0,Q2,Daniel Theis,110,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,3
0,H1,Daniel Theis,433,1,2,0.5,0,0,,1,1,1.0,0,3,3,1,0,0,1,1,3,4
0,Q3,Daniel Theis,574,3,3,1.0,0,0,,1,1,1.0,0,6,6,0,0,0,0,2,7,6
0,Q4,Daniel Theis,342,1,1,1.0,0,0,,2,2,1.0,1,0,1,0,0,0,0,1,4,-3
0,H2,Daniel Theis,916,4,4,1.0,0,0,,3,3,1.0,1,6,7,0,0,0,0,3,11,3
0,Q1,Semi Ojeleye,29,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0
0,Q2,Semi Ojeleye,720,3,3,1.0,2,2,1.0,0,0,,0,0,0,0,2,0,0,0,8,8
0,H1,Semi Ojeleye,749,3,3,1.0,2,2,1.0,0,0,,1,1,2,0,2,0,0,0,8,8
0,Q3,Semi Ojeleye,272,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,1,0,3,1
0,Q4,Semi Ojeleye,248,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-3
0,H2,Semi Ojeleye,520,1,2,0.5,1,2,0.5,0,0,,0,0,0,1,0,0,1,1,3,-2
0,Q1,Brad Wanamaker,179,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0,-5
0,Q2,Brad Wanamaker,426,1,2,0.5,0,0,,2,2,1.0,0,0,0,2,1,0,0,0,4,6
0,H1,Brad Wanamaker,605,1,2,0.5,0,0,,2,2,1.0,0,0,0,2,1,1,1,0,4,1
0,Q3,Brad Wanamaker,146,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,2
0,Q4,Brad Wanamaker,433,1,2,0.5,0,0,,2,2,1.0,0,1,1,1,0,0,0,0,4,-5
0,H2,Brad Wanamaker,579,1,2,0.5,0,0,,2,2,1.0,0,2,2,1,0,0,0,0,4,-3
0,Q1,Enes Freedom,
0,Q2,Enes Freedom,610,1,4,0.25,0,0,,3,4,0.75,3,3,6,0,0,0,2,1,5,5
0,H1,Enes Freedom,610,1,4,0.25,0,0,,3,4,0.75,3,3,6,0,0,0,2,1,5,5
0,Q3,Enes Freedom,146,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,2,2
