Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Julius Randle,607,5,9,0.556,2,2,1.0,0,0,,0,1,1,0,0,0,1,1,12,7
0,Q2,Julius Randle,335,3,5,0.6,2,3,0.667,0,0,,0,1,1,1,0,0,0,0,8,6
0,H1,Julius Randle,942,8,14,0.571,4,5,0.8,0,0,,0,2,2,1,0,0,1,1,20,13
0,Q3,Julius Randle,501,2,3,0.667,1,2,0.5,0,0,,0,1,1,1,0,0,0,1,5,16
0,Q4,Julius Randle,660,4,9,0.444,0,2,0.0,0,0,,1,4,5,0,0,0,1,1,8,-4
0,H2,Julius Randle,1161,6,12,0.5,1,4,0.25,0,0,,1,5,6,1,0,0,1,2,13,12
0,Q1,Marcus Morris,493,0,4,0.0,0,1,0.0,0,0,,1,3,4,0,0,0,1,1,0,2
0,Q2,Marcus Morris,476,3,5,0.6,1,2,0.5,0,0,,0,1,1,0,0,0,0,0,7,2
0,H1,Marcus Morris,969,3,9,0.333,1,3,0.333,0,0,,1,4,5,0,0,0,1,1,7,4
0,Q3,Marcus Morris,720,4,6,0.667,0,1,0.0,3,3,1.0,0,2,2,1,0,0,0,0,11,13
0,Q4,Marcus Morris,380,1,1,1.0,0,0,,2,2,1.0,0,1,1,1,0,0,0,1,4,0
0,H2,Marcus Morris,1100,5,7,0.714,0,1,0.0,5,5,1.0,0,3,3,2,0,0,0,1,15,13
0,Q1,Elfrid Payton,493,1,3,0.333,0,0,,0,0,,1,2,3,1,1,0,0,1,2,2
0,Q2,Elfrid Payton,335,0,1,0.0,0,1,0.0,0,0,,0,2,2,3,0,0,0,0,0,6
0,H1,Elfrid Payton,828,1,4,0.25,0,1,0.0,0,0,,1,4,5,4,1,0,0,1,2,8
0,Q3,Elfrid Payton,633,5,8,0.625,1,3,0.333,0,1,0.0,0,1,1,0,0,0,0,2,11,15
0,Q4,Elfrid Payton,447,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,2
0,H2,Elfrid Payton,1080,5,8,0.625,1,3,0.333,0,1,0.0,0,2,2,0,0,0,1,2,11,17
0,Q1,RJ Barrett,536,0,2,0.0,0,1,0.0,0,0,,1,3,4,1,0,0,2,1,0,2
0,Q2,RJ Barrett,418,1,3,0.333,1,2,0.5,0,0,,0,1,1,1,0,0,0,1,3,2
0,H1,RJ Barrett,954,1,5,0.2,1,3,0.333,0,0,,1,4,5,2,0,0,2,2,3,4
0,Q3,RJ Barrett,501,1,5,0.2,0,1,0.0,0,0,,2,0,2,0,1,0,0,0,2,16
0,Q4,RJ Barrett,
0,H2,RJ Barrett,501,1,5,0.2,0,1,0.0,0,0,,2,0,2,0,1,0,0,0,2,16
0,Q1,Taj Gibson,238,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3
0,Q2,Taj Gibson,202,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
0,H1,Taj Gibson,440,0,3,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-8
0,Q3,Taj Gibson,279,0,1,0.0,0,0,,0,0,,1,2,3,1,0,0,1,1,0,8
0,Q4,Taj Gibson,
0,H2,Taj Gibson,279,0,1,0.0,0,0,,0,0,,1,2,3,1,0,0,1,1,0,8
0,Q1,Mitchell Robinson,482,1,2,0.5,0,0,,1,1,1.0,1,1,2,0,1,1,0,0,3,12
0,Q2,Mitchell Robinson,326,1,1,1.0,0,0,,0,0,,0,2,2,0,0,0,0,0,2,-1
0,H1,Mitchell Robinson,808,2,3,0.667,0,0,,1,1,1.0,1,3,4,0,1,1,0,0,5,11
0,Q3,Mitchell Robinson,441,2,2,1.0,0,0,,0,2,0.0,3,1,4,1,0,1,0,2,4,5
0,Q4,Mitchell Robinson,451,0,1,0.0,0,0,,1,2,0.5,1,1,2,0,0,0,0,0,1,-4
