Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Kristaps Porziņģis,557,1,3,0.333,1,3,0.333,0,0,,0,2,2,1,0,0,0,0,3,0
0,Q2,Kristaps Porziņģis,514,2,6,0.333,1,3,0.333,0,0,,1,3,4,0,0,0,0,1,5,-5
0,H1,Kristaps Porziņģis,1071,3,9,0.333,2,6,0.333,0,0,,1,5,6,1,0,0,0,1,8,-5
0,Q3,Kristaps Porziņģis,720,3,5,0.6,2,4,0.5,0,0,,1,3,4,1,0,1,0,1,8,13
0,Q4,Kristaps Porziņģis,524,3,7,0.429,2,4,0.5,0,0,,1,2,3,0,0,0,1,0,8,0
0,H2,Kristaps Porziņģis,1244,6,12,0.5,4,8,0.5,0,0,,2,5,7,1,0,1,1,1,16,13
0,Q1,Luka Dončić,641,0,3,0.0,0,1,0.0,2,2,1.0,0,2,2,4,0,0,1,2,2,-3
0,Q2,Luka Dončić,406,1,4,0.25,0,2,0.0,4,4,1.0,0,1,1,0,0,0,2,0,6,-4
0,H1,Luka Dončić,1047,1,7,0.143,0,3,0.0,6,6,1.0,0,3,3,4,0,0,3,2,8,-7
0,Q3,Luka Dončić,720,4,6,0.667,0,2,0.0,3,3,1.0,0,1,1,3,0,0,2,0,11,13
0,Q4,Luka Dončić,524,2,4,0.5,0,1,0.0,0,0,,0,0,0,3,0,0,1,2,4,0
0,H2,Luka Dončić,1244,6,10,0.6,0,3,0.0,3,3,1.0,0,1,1,6,0,0,3,2,15,13
0,Q1,Tim Hardaway Jr.,523,3,5,0.6,2,3,0.667,0,0,,0,1,1,2,0,0,0,0,8,-1
0,Q2,Tim Hardaway Jr.,564,2,4,0.5,1,3,0.333,0,0,,0,1,1,0,0,0,0,0,5,-5
0,H1,Tim Hardaway Jr.,1087,5,9,0.556,3,6,0.5,0,0,,0,2,2,2,0,0,0,0,13,-6
0,Q3,Tim Hardaway Jr.,430,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,2,3
0,Q4,Tim Hardaway Jr.,720,0,2,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,2,0,-13
0,H2,Tim Hardaway Jr.,1150,0,2,0.0,0,1,0.0,2,2,1.0,0,1,1,1,0,0,1,2,2,-10
0,Q1,Seth Curry,525,3,3,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,1,1,7,-1
0,Q2,Seth Curry,393,1,1,1.0,1,1,1.0,0,0,,0,2,2,0,0,0,0,1,3,-1
0,H1,Seth Curry,918,4,4,1.0,2,2,1.0,0,0,,0,2,2,0,0,0,1,2,10,-2
0,Q3,Seth Curry,720,5,7,0.714,4,5,0.8,0,1,0.0,0,0,0,2,0,0,0,0,14,13
0,Q4,Seth Curry,524,4,4,1.0,2,2,1.0,3,3,1.0,0,0,0,0,0,0,0,2,13,0
0,H2,Seth Curry,1244,9,11,0.818,6,7,0.857,3,4,0.75,0,0,0,2,0,0,0,2,27,13
0,Q1,Dorian Finney-Smith,525,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-1
0,Q2,Dorian Finney-Smith,486,0,1,0.0,0,1,0.0,3,4,0.75,0,2,2,1,0,0,0,2,3,-6
0,H1,Dorian Finney-Smith,1011,0,2,0.0,0,2,0.0,3,4,0.75,0,3,3,1,0,0,0,2,3,-7
0,Q3,Dorian Finney-Smith,326,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,2,0,-2
0,Q4,Dorian Finney-Smith,268,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-12
0,H2,Dorian Finney-Smith,594,0,2,0.0,0,2,0.0,0,0,,0,0,0,1,0,0,0,3,0,-14
0,Q1,Maxi Kleber,274,2,4,0.5,1,3,0.333,0,0,,0,1,1,0,0,0,0,0,5,3
