Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Donovan Mitchell,560,1,3,0.333,1,3,0.333,0,0,,0,0,0,0,0,0,1,0,3,3
0,Q2,Donovan Mitchell,493,2,4,0.5,1,1,1.0,0,0,,0,1,1,3,0,0,0,1,5,6
0,H1,Donovan Mitchell,1053,3,7,0.429,2,4,0.5,0,0,,0,1,1,3,0,0,1,1,8,9
0,Q3,Donovan Mitchell,590,5,7,0.714,3,3,1.0,4,4,1.0,2,0,2,0,0,0,0,1,17,15
0,Q4,Donovan Mitchell,163,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-2
0,H2,Donovan Mitchell,753,6,8,0.75,3,3,1.0,4,4,1.0,2,0,2,1,0,0,0,1,19,13
0,Q1,Royce O'Neale,560,1,2,0.5,0,1,0.0,0,0,,1,0,1,1,1,0,1,0,2,3
0,Q2,Royce O'Neale,493,1,2,0.5,1,2,0.5,0,0,,0,1,1,2,0,0,0,0,3,6
0,H1,Royce O'Neale,1053,2,4,0.5,1,3,0.333,0,0,,1,1,2,3,1,0,1,0,5,9
0,Q3,Royce O'Neale,558,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,1,0,15
0,Q4,Royce O'Neale,163,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,H2,Royce O'Neale,721,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,1,0,13
0,Q1,Bojan Bogdanović,560,1,2,0.5,1,1,1.0,0,0,,0,0,0,2,0,0,0,0,3,3
0,Q2,Bojan Bogdanović,493,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,2,6
0,H1,Bojan Bogdanović,1053,2,4,0.5,1,2,0.5,0,0,,0,0,0,2,0,0,1,0,5,9
0,Q3,Bojan Bogdanović,453,2,3,0.667,2,2,1.0,4,4,1.0,0,2,2,1,0,0,0,0,10,8
0,Q4,Bojan Bogdanović,163,2,3,0.667,1,2,0.5,0,0,,0,0,0,0,0,0,1,0,5,-2
0,H2,Bojan Bogdanović,616,4,6,0.667,3,4,0.75,4,4,1.0,0,2,2,1,0,0,1,0,15,6
0,Q1,Mike Conley,518,0,2,0.0,0,1,0.0,1,2,0.5,1,0,1,2,1,0,0,1,1,-2
0,Q2,Mike Conley,439,1,3,0.333,1,2,0.5,0,0,,1,0,1,1,1,0,1,0,3,6
0,H1,Mike Conley,957,1,5,0.2,1,3,0.333,1,2,0.5,2,0,2,3,2,0,1,1,4,4
0,Q3,Mike Conley,445,1,3,0.333,1,2,0.5,0,0,,0,2,2,1,0,0,0,1,3,9
0,Q4,Mike Conley,218,2,2,1.0,1,1,1.0,0,0,,0,2,2,1,0,0,0,0,5,5
0,H2,Mike Conley,663,3,5,0.6,2,3,0.667,0,0,,0,4,4,2,0,0,0,1,8,14
0,Q1,Rudy Gobert,493,2,5,0.4,0,0,,0,0,,1,1,2,0,0,0,0,0,4,-3
0,Q2,Rudy Gobert,439,0,2,0.0,0,0,,0,0,,0,3,3,0,0,0,0,1,0,6
