Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Khris Middleton,681,2,7,0.286,0,1,0.0,1,1,1.0,3,2,5,1,0,0,1,0,5,-4
0,Q2,Khris Middleton,720,0,4,0.0,0,1,0.0,0,0,,0,1,1,3,0,0,0,0,0,-3
0,H1,Khris Middleton,1401,2,11,0.182,0,2,0.0,1,1,1.0,3,3,6,4,0,0,1,0,5,-7
0,Q3,Khris Middleton,720,2,5,0.4,1,3,0.333,0,0,,1,3,4,0,2,0,0,2,5,7
0,Q4,Khris Middleton,720,4,7,0.571,1,2,0.5,2,2,1.0,0,0,0,2,3,0,1,0,11,-1
0,H2,Khris Middleton,1440,6,12,0.5,2,5,0.4,2,2,1.0,1,3,4,2,5,0,1,2,16,6
0,Q1,Giannis Antetokounmpo,678,4,5,0.8,1,2,0.5,1,2,0.5,1,1,2,1,0,1,1,1,10,-3
0,Q2,Giannis Antetokounmpo,662,1,4,0.25,0,1,0.0,3,6,0.5,0,3,3,2,0,0,1,0,5,-3
0,H1,Giannis Antetokounmpo,1340,5,9,0.556,1,3,0.333,4,8,0.5,1,4,5,3,0,1,2,1,15,-6
0,Q3,Giannis Antetokounmpo,687,6,10,0.6,1,3,0.333,3,3,1.0,1,1,2,2,0,0,0,1,16,9
0,Q4,Giannis Antetokounmpo,681,3,4,0.75,0,0,,1,3,0.333,0,3,3,0,0,0,1,0,7,-1
0,H2,Giannis Antetokounmpo,1368,9,14,0.643,1,3,0.333,4,6,0.667,1,4,5,2,0,0,1,1,23,8
0,Q1,Jrue Holiday,720,2,8,0.25,0,3,0.0,0,0,,1,0,1,1,0,0,1,1,4,-3
0,Q2,Jrue Holiday,508,0,3,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,0,-3
0,H1,Jrue Holiday,1228,2,11,0.182,0,4,0.0,0,0,,1,0,1,2,0,0,1,2,4,-6
0,Q3,Jrue Holiday,720,0,5,0.0,0,1,0.0,0,0,,1,3,4,4,0,0,0,1,0,7
0,Q4,Jrue Holiday,648,3,5,0.6,2,3,0.667,1,2,0.5,0,1,1,2,0,0,0,2,9,-2
0,H2,Jrue Holiday,1368,3,10,0.3,2,4,0.5,1,2,0.5,1,4,5,6,0,0,0,3,9,5
0,Q1,Brook Lopez,683,1,2,0.5,1,2,0.5,0,0,,1,1,2,1,0,0,0,0,3,-1
0,Q2,Brook Lopez,500,4,5,0.8,1,1,1.0,0,0,,2,0,2,0,0,1,0,0,9,-1
0,H1,Brook Lopez,1183,5,7,0.714,2,3,0.667,0,0,,3,1,4,1,0,1,0,0,12,-2
0,Q3,Brook Lopez,582,2,3,0.667,1,1,1.0,0,0,,1,0,1,0,0,0,0,1,5,1
0,Q4,Brook Lopez,719,0,1,0.0,0,0,,0,0,,1,0,1,0,1,2,0,0,0,-1
0,H2,Brook Lopez,1301,2,4,0.5,1,1,1.0,0,0,,2,0,2,0,1,2,0,1,5,0
0,Q1,P.J. Tucker,517,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,2,0,1,3,0
0,Q2,P.J. Tucker,720,1,4,0.25,0,1,0.0,0,0,,2,0,2,0,2,0,0,1,2,-3
0,H1,P.J. Tucker,1237,2,6,0.333,1,2,0.5,0,0,,2,1,3,0,2,2,0,2,5,-3
0,Q3,P.J. Tucker,549,2,2,1.0,2,2,1.0,0,0,,0,0,0,0,1,0,0,2,6,3
0,Q4,P.J. Tucker,326,0,1,0.0,0,1,0.0,0,0,,2,0,2,0,0,0,0,1,0,-2
0,H2,P.J. Tucker,875,2,3,0.667,2,3,0.667,0,0,,2,0,2,0,1,0,0,3,6,1
0,Q1,Pat Connaughton,121,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q2,Pat Connaughton,490,2,2,1.0,2,2,1.0,0,0,,0,3,3,0,0,0,0,1,6,-2
0,H1,Pat Connaughton,611,2,3,0.667,2,3,0.667,0,0,,0,3,3,0,0,0,0,1,6,-2
0,Q3,Pat Connaughton,171,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,4
0,Q4,Pat Connaughton,505,0,1,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,0,1,0,2
0,H2,Pat Connaughton,676,1,2,0.5,1,2,0.5,0,0,,1,0,1,0,0,0,0,1,3,6
0,Q1,Bryn Forbes,158,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
0,Q2,Bryn Forbes,
0,H1,Bryn Forbes,158,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
