Home Team,Term,Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Antoine Walker,720,2,4,0.5,1,1,1.0,2,2,1.0,1,4,5,2,0,1,1,1,7,-4
0,Q2,Antoine Walker,612,4,9,0.444,1,3,0.333,2,2,1.0,1,1,2,3,0,0,0,0,11,8
0,H1,Antoine Walker,1332,6,13,0.462,2,4,0.5,4,4,1.0,2,5,7,5,0,1,1,1,18,4
0,Q3,Antoine Walker,720,3,5,0.6,0,1,0.0,0,0,,0,2,2,1,1,0,1,0,6,-3
0,Q4,Antoine Walker,619,1,6,0.167,0,3,0.0,2,4,0.5,1,3,4,1,0,0,1,2,4,1
0,H2,Antoine Walker,1339,4,11,0.364,0,4,0.0,2,4,0.5,1,5,6,2,1,0,2,2,10,-2
0,Q1,Paul Pierce,552,0,0,,0,0,,0,2,0.0,0,0,0,2,1,0,0,0,0,0
0,Q2,Paul Pierce,274,2,3,0.667,0,0,,0,2,0.0,0,2,2,0,0,0,1,2,4,0
0,H1,Paul Pierce,826,2,3,0.667,0,0,,0,4,0.0,0,2,2,2,1,0,1,2,4,0
0,Q3,Paul Pierce,631,3,7,0.429,0,0,,1,2,0.5,0,0,0,0,1,0,0,0,7,-4
0,Q4,Paul Pierce,713,2,2,1.0,0,0,,0,0,,0,2,2,1,0,1,1,0,4,5
0,H2,Paul Pierce,1344,5,9,0.556,0,0,,1,2,0.5,0,2,2,1,1,1,1,0,11,1
0,Q1,Bryant Stith,504,2,3,0.667,1,2,0.5,3,4,0.75,1,1,2,0,0,0,0,0,8,-6
0,Q2,Bryant Stith,528,1,4,0.25,0,2,0.0,0,0,,1,1,2,0,1,0,0,0,2,1
0,H1,Bryant Stith,1032,3,7,0.429,1,4,0.25,3,4,0.75,2,2,4,0,1,0,0,0,10,-5
0,Q3,Bryant Stith,552,0,1,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,0,1,0,-5
0,Q4,Bryant Stith,168,0,0,,0,0,,0,2,0.0,0,0,0,0,0,0,2,0,0,-4
0,H2,Bryant Stith,720,0,1,0.0,0,1,0.0,0,2,0.0,1,0,1,0,0,0,2,1,0,-9
0,Q1,Milt Palacio,462,2,4,0.5,0,0,,0,0,,0,1,1,0,0,0,1,1,4,-6
0,Q2,Milt Palacio,369,2,2,1.0,0,0,,0,0,,0,0,0,1,0,0,0,0,4,0
0,H1,Milt Palacio,831,4,6,0.667,0,0,,0,0,,0,1,1,1,0,0,1,1,8,-6
0,Q3,Milt Palacio,492,2,3,0.667,0,1,0.0,0,0,,0,0,0,1,0,0,1,1,4,-2
0,Q4,Milt Palacio,228,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1
0,H2,Milt Palacio,720,3,4,0.75,0,1,0.0,0,0,,0,0,0,1,0,0,1,1,6,-1
0,Q1,Mark Blount,310,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-2
0,Q2,Mark Blount,148,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0
0,H1,Mark Blount,458,0,0,,0,0,,0,0,,2,0,2,0,0,0,1,3,0,-2
0,Q3,Mark Blount,324,0,1,0.0,0,0,,0,0,,0,0,0,1,1,0,0,0,0,-4
0,Q4,Mark Blount,
0,H2,Mark Blount,324,0,1,0.0,0,0,,0,0,,0,0,0,1,1,0,0,0,0,-4
0,Q1,Eric Williams,321,3,3,1.0,0,0,,0,1,0.0,0,0,0,0,1,0,1,1,6,0
0,Q2,Eric Williams,413,1,2,0.5,0,1,0.0,2,2,1.0,1,1,2,0,0,0,1,1,4,4
0,H1,Eric Williams,734,4,5,0.8,0,1,0.0,2,3,0.667,1,1,2,0,1,0,2,2,10,4
0,Q3,Eric Williams,257,2,2,1.0,0,0,,2,3,0.667,0,0,0,2,2,0,0,0,6,3
0,Q4,Eric Williams,561,1,2,0.5,1,2,0.5,1,1,1.0,0,0,0,3,1,0,0,3,4,9
0,H2,Eric Williams,818,3,4,0.75,1,2,0.5,3,4,0.75,0,0,0,5,3,0,0,3,10,12
0,Q1,Vitaly Potapenko,324,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,1,2,2,0
0,Q2,Vitaly Potapenko,
0,H1,Vitaly Potapenko,324,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,1,2,2,0
0,Q3,Vitaly Potapenko,373,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,1
0,Q4,Vitaly Potapenko,719,0,1,0.0,0,0,,0,0,,2,3,5,0,0,1,0,0,0,5
0,H2,Vitaly Potapenko,1092,0,2,0.0,0,0,,0,0,,2,3,5,0,0,1,0,1,0,6
0,Q1,Chris Herren,258,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,2
0,Q2,Chris Herren,351,0,0,,0,0,,0,0,,0,1,1,2,1,0,0,0,0,4
0,H1,Chris Herren,609,0,1,0.0,0,1,0.0,0,0,,0,1,1,2,1,0,0,0,0,6
0,Q3,Chris Herren,228,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1
0,Q4,Chris Herren,492,3,4,0.75,3,4,0.75,0,0,,0,0,0,2,1,0,0,0,9,4
0,H2,Chris Herren,720,3,5,0.6,3,5,0.6,0,0,,0,0,0,2,1,0,0,1,9,3
0,Q1,Tony Battie,86,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,Q2,Tony Battie,572,2,3,0.667,0,0,,0,0,,0,2,2,1,0,3,0,0,4,4
0,H1,Tony Battie,658,2,3,0.667,0,0,,0,0,,0,2,2,1,0,3,0,0,4,2
0,Q3,Tony Battie,23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q4,Tony Battie,
0,H2,Tony Battie,23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q1,Adrian Griffin,63,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
0,Q2,Adrian Griffin,225,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,3
0,H1,Adrian Griffin,288,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,1
0,Q3,Adrian Griffin,
0,Q4,Adrian Griffin,
0,H2,Adrian Griffin,
0,Q1,Walter McCarty,
0,Q2,Walter McCarty,108,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-4
0,H1,Walter McCarty,108,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-4
0,Q3,Walter McCarty,
0,Q4,Walter McCarty,101,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,4
0,H2,Walter McCarty,101,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,4
0,Q1,Jérôme Moïso,
0,Q2,Jérôme Moïso,
0,H1,Jérôme Moïso,
0,Q3,Jérôme Moïso,
0,Q4,Jérôme Moïso,
0,H2,Jérôme Moïso,
1,Q1,Laron Profit,657,0,1,0.0,0,0,,2,2,1.0,0,1,1,4,1,0,0,1,2,2
1,Q2,Laron Profit,687,0,1,0.0,0,0,,0,0,,1,0,1,0,1,0,0,0,0,-2
1,H1,Laron Profit,1344,0,2,0.0,0,0,,2,2,1.0,1,1,2,4,2,0,0,1,2,0
1,Q3,Laron Profit,720,2,2,1.0,0,0,,0,0,,1,2,3,4,1,0,1,1,4,3
1,Q4,Laron Profit,720,0,2,0.0,0,0,,2,2,1.0,0,1,1,0,0,0,1,0,2,-5
1,H2,Laron Profit,1440,2,4,0.5,0,0,,2,2,1.0,1,3,4,4,1,0,2,1,6,-2
1,Q1,Richard Hamilton,720,4,4,1.0,1,1,1.0,1,1,1.0,0,0,0,1,0,0,1,0,10,4
1,Q2,Richard Hamilton,551,3,8,0.375,0,1,0.0,4,4,1.0,0,1,1,1,0,0,1,0,10,-2
1,H1,Richard Hamilton,1271,7,12,0.583,1,2,0.5,5,5,1.0,0,1,1,2,0,0,2,0,20,2
1,Q3,Richard Hamilton,720,2,3,0.667,0,0,,2,2,1.0,0,1,1,1,0,0,1,0,6,3
1,Q4,Richard Hamilton,720,5,10,0.5,0,1,0.0,2,2,1.0,2,1,3,0,0,0,0,1,12,-5
1,H2,Richard Hamilton,1440,7,13,0.538,0,1,0.0,4,4,1.0,2,2,4,1,0,0,1,1,18,-2
1,Q1,Courtney Alexander,720,3,6,0.5,0,0,,4,5,0.8,0,0,0,0,1,0,0,1,10,4
1,Q2,Courtney Alexander,558,1,4,0.25,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,2,-6
1,H1,Courtney Alexander,1278,4,10,0.4,0,1,0.0,4,5,0.8,0,1,1,1,1,0,0,1,12,-2
1,Q3,Courtney Alexander,615,3,6,0.5,1,3,0.333,0,0,,0,1,1,0,0,0,0,1,7,1
1,Q4,Courtney Alexander,524,1,3,0.333,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-9
1,H2,Courtney Alexander,1139,4,9,0.444,1,3,0.333,0,0,,0,1,1,0,0,0,0,1,9,-8
1,Q1,Christian Laettner,657,1,4,0.25,0,0,,0,0,,1,4,5,0,1,0,2,1,2,2
1,Q2,Christian Laettner,392,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,0,1,2,-2
1,H1,Christian Laettner,1049,2,5,0.4,0,0,,0,0,,1,5,6,1,1,0,2,2,4,0
1,Q3,Christian Laettner,492,3,3,1.0,0,0,,1,2,0.5,1,1,2,0,0,0,3,2,7,2
1,Q4,Christian Laettner,422,0,2,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,0,0,0,-9
1,H2,Christian Laettner,914,3,5,0.6,0,1,0.0,1,2,0.5,2,1,3,0,0,0,3,2,7,-7
1,Q1,Jahidi White,552,2,2,1.0,0,0,,1,5,0.2,1,3,4,0,0,0,0,1,5,0
1,Q2,Jahidi White,392,1,1,1.0,0,0,,5,6,0.833,0,1,1,0,0,1,1,1,7,-2
1,H1,Jahidi White,944,3,3,1.0,0,0,,6,11,0.545,1,4,5,0,0,1,1,2,12,-2
1,Q3,Jahidi White,581,0,0,,0,0,,0,0,,0,2,2,0,0,2,1,1,0,1
1,Q4,Jahidi White,268,0,0,,0,0,,0,2,0.0,0,1,1,0,0,0,1,0,0,0
1,H2,Jahidi White,849,0,0,,0,0,,0,2,0.0,0,3,3,0,0,2,2,1,0,1
1,Q1,Michael Smith,168,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,4
1,Q2,Michael Smith,328,1,2,0.5,0,0,,0,0,,1,2,3,0,0,0,0,0,2,-2
1,H1,Michael Smith,496,1,2,0.5,0,0,,0,0,,1,2,3,0,0,0,0,1,2,2
1,Q3,Michael Smith,228,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,1
1,Q4,Michael Smith,452,1,2,0.5,0,0,,0,0,,1,3,4,1,0,1,0,3,2,-5
1,H2,Michael Smith,680,1,2,0.5,0,0,,0,0,,1,3,4,1,0,1,1,3,2,-4
1,Q1,Popeye Jones,63,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
1,Q2,Popeye Jones,328,0,1,0.0,0,0,,2,2,1.0,1,3,4,0,1,0,1,2,2,-2
1,H1,Popeye Jones,391,0,1,0.0,0,0,,2,2,1.0,1,3,4,0,1,0,1,2,2,0
1,Q3,Popeye Jones,139,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,1,0,2,2
1,Q4,Popeye Jones,298,0,0,,0,0,,0,0,,1,0,1,0,1,0,0,1,0,4
1,H2,Popeye Jones,437,1,1,1.0,0,0,,0,0,,1,1,2,0,1,0,1,1,2,6
1,Q1,David Vanterpool,63,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,2
1,Q2,David Vanterpool,364,0,2,0.0,0,0,,0,0,,1,1,2,1,0,0,0,1,0,-2
1,H1,David Vanterpool,427,1,4,0.25,0,1,0.0,0,0,,1,1,2,1,0,0,0,1,2,0
1,Q3,David Vanterpool,105,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,0,0,0,2
1,Q4,David Vanterpool,196,0,1,0.0,0,0,,0,0,,0,0,0,0,2,0,1,0,0,4
1,H2,David Vanterpool,301,0,2,0.0,0,0,,0,0,,0,1,1,1,2,0,1,0,0,6
1,Q1,Hubert Davis,
1,Q2,Hubert Davis,
1,H1,Hubert Davis,
1,Q3,Hubert Davis,
1,Q4,Hubert Davis,
1,H2,Hubert Davis,
1,Q1,Tyrone Nesby,
1,Q2,Tyrone Nesby,
1,H1,Tyrone Nesby,
1,Q3,Tyrone Nesby,
1,Q4,Tyrone Nesby,
1,H2,Tyrone Nesby,
1,Q1,Mike Smith,
1,Q2,Mike Smith,
1,H1,Mike Smith,
1,Q3,Mike Smith,
1,Q4,Mike Smith,
