Home Team,Term,Name,Time Played (sec),FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Andre Iguodala,720,2,4,0.5,1,1,1.0,0,0,,1,0,1,1,1,0,1,0,5,-15
0,Q2,Andre Iguodala,523,0,1,0.0,0,0,,0,0,,1,2,3,4,0,0,0,0,0,-4
0,H1,Andre Iguodala,1243,2,5,0.4,1,1,1.0,0,0,,2,2,4,5,1,0,1,0,5,-19
0,Q3,Andre Iguodala,720,2,4,0.5,0,0,,0,0,,0,0,0,0,0,0,0,2,4,3
0,Q4,Andre Iguodala,720,2,4,0.5,0,0,,4,5,0.8,0,4,4,1,0,0,1,0,8,0
0,H2,Andre Iguodala,1440,4,8,0.5,0,0,,4,5,0.8,0,4,4,1,0,0,1,2,12,3
0,Q1,Jrue Holiday,550,2,3,0.667,0,0,,0,0,,0,0,0,1,0,0,0,2,4,-8
0,Q2,Jrue Holiday,324,1,2,0.5,0,0,,2,2,1.0,0,2,2,0,0,0,1,0,4,0
0,H1,Jrue Holiday,874,3,5,0.6,0,0,,2,2,1.0,0,2,2,1,0,0,1,2,8,-8
0,Q3,Jrue Holiday,720,3,5,0.6,1,2,0.5,1,1,1.0,0,2,2,4,1,1,1,1,8,3
0,Q4,Jrue Holiday,363,0,2,0.0,0,0,,0,0,,1,2,3,1,0,0,0,0,0,3
0,H2,Jrue Holiday,1083,3,7,0.429,1,2,0.5,1,1,1.0,1,4,5,5,1,1,1,1,8,6
0,Q1,Thaddeus Young,294,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-5
0,Q2,Thaddeus Young,324,2,4,0.5,0,0,,0,0,,1,0,1,0,1,1,0,0,4,0
0,H1,Thaddeus Young,618,3,5,0.6,0,0,,0,0,,1,0,1,0,1,1,0,2,6,-5
0,Q3,Thaddeus Young,672,4,6,0.667,0,0,,0,0,,1,1,2,0,1,0,0,1,8,3
0,Q4,Thaddeus Young,443,0,1,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,0,1,0,-1
0,H2,Thaddeus Young,1115,4,7,0.571,0,1,0.0,0,0,,1,3,4,1,1,0,0,2,8,2
0,Q1,Spencer Hawes,356,0,3,0.0,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-9
0,Q2,Spencer Hawes,242,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-5
0,H1,Spencer Hawes,598,0,3,0.0,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-14
0,Q3,Spencer Hawes,505,3,5,0.6,0,0,,0,0,,2,1,3,1,0,0,2,2,6,0
0,Q4,Spencer Hawes,
0,H2,Spencer Hawes,505,3,5,0.6,0,0,,0,0,,2,1,3,1,0,0,2,2,6,0
0,Q1,Evan Turner,294,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-5
0,Q2,Evan Turner,197,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,H1,Evan Turner,491,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-5
0,Q3,Evan Turner,468,0,0,,0,0,,2,2,1.0,0,1,1,0,0,0,0,0,2,3
0,Q4,Evan Turner,
0,H2,Evan Turner,468,0,0,,0,0,,2,2,1.0,0,1,1,0,0,0,0,0,2,3
0,Q1,Lou Williams,170,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
0,Q2,Lou Williams,720,1,5,0.2,1,2,0.5,3,4,0.75,1,1,2,1,0,0,1,2,6,-4
0,H1,Lou Williams,890,1,7,0.143,1,2,0.5,3,4,0.75,1,1,2,1,0,0,1,2,6,-11
0,Q3,Lou Williams,
0,Q4,Lou Williams,720,0,4,0.0,0,2,0.0,2,2,1.0,0,0,0,0,0,2,0,0,2,0
0,H2,Lou Williams,720,0,4,0.0,0,2,0.0,2,2,1.0,0,0,0,0,0,2,0,0,2,0
0,Q1,Jodie Meeks,426,1,1,1.0,0,0,,1,1,1.0,0,0,0,1,0,0,0,0,3,-10
0,Q2,Jodie Meeks,396,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-4
0,H1,Jodie Meeks,822,1,3,0.333,0,1,0.0,1,1,1.0,0,1,1,1,0,0,0,0,3,-14
0,Q3,Jodie Meeks,252,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q4,Jodie Meeks,357,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,-3
0,H2,Jodie Meeks,609,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,-3
0,Q1,Marreese Speights,364,1,2,0.5,0,0,,0,0,,0,1,1,1,0,0,2,0,2,-6
0,Q2,Marreese Speights,168,1,1,1.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,1,3,1
0,H1,Marreese Speights,532,2,3,0.667,0,0,,1,2,0.5,0,1,1,1,0,0,2,1,5,-5
0,Q3,Marreese Speights,38,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q4,Marreese Speights,695,2,4,0.5,0,0,,0,0,,1,0,1,0,0,1,1,1,4,-1
0,H2,Marreese Speights,733,2,5,0.4,0,0,,0,0,,1,0,1,0,0,1,1,1,4,-1
0,Q1,Andrés Nocioni,426,1,3,0.333,0,0,,0,0,,0,3,3,0,0,0,1,0,2,-10
0,Q2,Andrés Nocioni,
0,H1,Andrés Nocioni,426,1,3,0.333,0,0,,0,0,,0,3,3,0,0,0,1,0,2,-10
0,Q3,Andrés Nocioni,11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q4,Andrés Nocioni,302,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,1,1,2,2
0,H2,Andrés Nocioni,313,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,1,1,2,2
0,Q1,Craig Brackins,
0,Q2,Craig Brackins,396,3,4,0.75,0,0,,0,0,,0,0,0,0,0,0,0,1,6,-4
0,H1,Craig Brackins,396,3,4,0.75,0,0,,0,0,,0,0,0,0,0,0,0,1,6,-4
0,Q3,Craig Brackins,215,0,3,0.0,0,2,0.0,0,0,,1,0,1,0,1,0,0,1,0,3
0,Q4,Craig Brackins,
0,H2,Craig Brackins,215,0,3,0.0,0,2,0.0,0,0,,1,0,1,0,1,0,0,1,0,3
0,Q1,Tony Battie,
0,Q2,Tony Battie,310,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0
0,H1,Tony Battie,310,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0
0,Q3,Tony Battie,
0,Q4,Tony Battie,
0,H2,Tony Battie,
0,Q1,Elton Brand,
0,Q2,Elton Brand,
0,H1,Elton Brand,
0,Q3,Elton Brand,
0,Q4,Elton Brand,
0,H2,Elton Brand,
1,Q1,Sonny Weems,720,2,3,0.667,0,0,,0,0,,0,0,0,1,1,0,0,0,4,15
1,Q2,Sonny Weems,182,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1
1,H1,Sonny Weems,902,2,5,0.4,0,0,,0,0,,0,0,0,1,1,0,0,0,4,16
1,Q3,Sonny Weems,720,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,2,0,0,-3
1,Q4,Sonny Weems,488,1,2,0.5,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,0,4,5
1,H2,Sonny Weems,1208,1,3,0.333,0,2,0.0,2,2,1.0,0,0,0,1,1,0,2,0,4,2
1,Q1,Reggie Evans,720,1,1,1.0,0,0,,0,0,,1,9,10,2,1,0,0,1,2,15
1,Q2,Reggie Evans,411,1,2,0.5,0,0,,0,1,0.0,3,2,5,0,0,0,0,0,2,5
1,H1,Reggie Evans,1131,2,3,0.667,0,0,,0,1,0.0,4,11,15,2,1,0,0,1,4,20
1,Q3,Reggie Evans,672,2,2,1.0,0,0,,4,6,0.667,0,2,2,0,1,0,2,1,8,-3
1,Q4,Reggie Evans,273,0,1,0.0,0,0,,0,0,,1,4,5,0,0,1,0,1,0,4
1,H2,Reggie Evans,945,2,3,0.667,0,0,,4,6,0.667,1,6,7,0,1,1,2,2,8,1
1,Q1,Andrea Bargnani,443,3,5,0.6,0,1,0.0,2,2,1.0,0,0,0,1,0,2,2,0,8,6
1,Q2,Andrea Bargnani,538,2,3,0.667,1,1,1.0,2,4,0.5,1,2,3,0,0,0,2,2,7,3
1,H1,Andrea Bargnani,981,5,8,0.625,1,2,0.5,4,6,0.667,1,2,3,1,0,2,4,2,15,9
1,Q3,Andrea Bargnani,441,1,2,0.5,1,1,1.0,2,2,1.0,0,1,1,1,0,0,0,0,5,-5
1,Q4,Andrea Bargnani,575,2,6,0.333,0,1,0.0,0,0,,1,0,1,0,0,1,1,0,4,5
1,H2,Andrea Bargnani,1016,3,8,0.375,1,2,0.5,2,2,1.0,1,1,2,1,0,1,1,0,9,0
1,Q1,José Calderón,550,3,3,1.0,1,1,1.0,0,0,,0,0,0,3,1,0,0,0,7,8
1,Q2,José Calderón,342,1,1,1.0,0,0,,0,0,,0,0,0,2,1,0,0,2,2,5
1,H1,José Calderón,892,4,4,1.0,1,1,1.0,0,0,,0,0,0,5,2,0,0,2,9,13
1,Q3,José Calderón,536,2,3,0.667,1,1,1.0,0,0,,0,1,1,1,0,0,1,0,5,-1
1,Q4,José Calderón,488,1,3,0.333,0,1,0.0,0,0,,0,2,2,3,0,0,0,1,2,5
1,H2,José Calderón,1024,3,6,0.5,1,2,0.5,0,0,,0,3,3,4,0,0,1,1,7,4
1,Q1,DeMar DeRozan,443,1,2,0.5,0,0,,1,2,0.5,0,0,0,1,1,0,0,1,3,6
1,Q2,DeMar DeRozan,411,0,2,0.0,0,0,,0,0,,0,0,0,0,1,0,0,0,0,5
1,H1,DeMar DeRozan,854,1,4,0.25,0,0,,1,2,0.5,0,0,0,1,2,0,0,1,3,11
1,Q3,DeMar DeRozan,436,0,1,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,0,1,2,-5
1,Q4,DeMar DeRozan,
1,H2,DeMar DeRozan,436,0,1,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,0,1,2,-5
1,Q1,Leandro Barbosa,277,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,9
1,Q2,Leandro Barbosa,378,2,4,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,4,-1
1,H1,Leandro Barbosa,655,3,6,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,6,8
1,Q3,Leandro Barbosa,284,1,2,0.5,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,2
1,Q4,Leandro Barbosa,720,1,6,0.167,0,4,0.0,0,0,,0,0,0,2,0,0,0,1,2,0
1,H2,Leandro Barbosa,1004,2,8,0.25,1,5,0.2,0,0,,0,0,0,2,0,0,0,1,5,2
1,Q1,Amir Johnson,277,1,1,1.0,0,0,,2,2,1.0,1,0,1,2,0,1,1,0,4,9
1,Q2,Amir Johnson,309,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1
1,H1,Amir Johnson,586,1,1,1.0,0,0,,2,2,1.0,1,1,2,2,0,1,1,1,4,8
1,Q3,Amir Johnson,279,0,2,0.0,0,0,,0,0,,1,1,2,1,0,0,0,0,0,2
1,Q4,Amir Johnson,447,1,2,0.5,0,0,,0,0,,0,1,1,1,1,0,0,0,2,-4
1,H2,Amir Johnson,726,1,4,0.25,0,0,,0,0,,1,2,3,2,1,0,0,0,2,-2
1,Q1,Jerryd Bayless,170,1,3,0.333,1,1,1.0,0,0,,0,0,0,0,0,0,0,1,3,7
1,Q2,Jerryd Bayless,309,1,1,1.0,1,1,1.0,0,0,,0,1,1,2,0,0,0,1,3,-1
1,H1,Jerryd Bayless,479,2,4,0.5,2,2,1.0,0,0,,0,1,1,2,0,0,0,2,6,6
1,Q3,Jerryd Bayless,184,0,1,0.0,0,0,,2,2,1.0,0,1,1,0,0,0,1,0,2,-2
1,Q4,Jerryd Bayless,232,2,2,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,1,5,-5
1,H2,Jerryd Bayless,416,2,3,0.667,1,1,1.0,2,2,1.0,0,1,1,0,0,0,1,1,7,-7
1,Q1,Linas Kleiza,
1,Q2,Linas Kleiza,538,2,4,0.5,0,0,,0,0,,0,2,2,0,0,0,0,0,4,3
1,H1,Linas Kleiza,538,2,4,0.5,0,0,,0,0,,0,2,2,0,0,0,0,0,4,3
1,Q3,Linas Kleiza,
1,Q4,Linas Kleiza,232,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-5
1,H2,Linas Kleiza,232,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-5
1,Q1,Peja Stojaković,
1,Q2,Peja Stojaković,182,2,3,0.667,1,2,0.5,2,2,1.0,0,0,0,0,0,0,0,0,7,1
1,H1,Peja Stojaković,182,2,3,0.667,1,2,0.5,2,2,1.0,0,0,0,0,0,0,0,0,7,1
1,Q3,Peja Stojaković,48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
1,Q4,Peja Stojaković,145,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
1,H2,Peja Stojaković,193,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-5
1,Q1,Joey Dorsey,
1,Q2,Joey Dorsey,
1,H1,Joey Dorsey,
1,Q3,Joey Dorsey,
1,Q4,Joey Dorsey,
1,H2,Joey Dorsey,
1,Q1,Julian Wright,
1,Q2,Julian Wright,
1,H1,Julian Wright,
1,Q3,Julian Wright,
1,Q4,Julian Wright,
1,H2,Julian Wright,
