Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,+/-
Mo Williams,479,1,3,0.333,0,1,0.0,0,0,,0,2,2,2,0,1,0,0,2,-2
Mo Williams,529,3,5,0.6,2,3,0.667,0,0,,0,1,1,1,0,0,0,0,8,2
Mo Williams,1008,4,8,0.5,2,4,0.5,0,0,,0,3,3,3,0,1,0,0,10,0
Mo Williams,501,1,2,0.5,0,0,,2,3,0.667,0,0,0,3,1,0,0,2,4,4
Mo Williams,720,2,5,0.4,1,3,0.333,0,0,,0,1,1,1,0,0,1,0,5,1
Mo Williams,1221,3,7,0.429,1,3,0.333,2,3,0.667,0,1,1,4,1,0,1,2,9,5
LeBron James,479,4,7,0.571,0,0,,0,0,,0,4,4,1,0,0,0,1,8,-1
LeBron James,638,2,6,0.333,1,3,0.333,0,3,0.0,0,2,2,1,0,0,0,0,5,4
LeBron James,1117,6,13,0.462,1,3,0.333,0,3,0.0,0,6,6,2,0,0,0,1,13,3
LeBron James,446,2,2,1.0,0,0,,0,0,,0,3,3,0,1,0,1,0,4,-4
LeBron James,593,4,7,0.571,0,2,0.0,0,0,,0,1,1,3,0,0,0,2,8,2
LeBron James,1039,6,9,0.667,0,2,0.0,0,0,,0,4,4,3,1,0,1,2,12,-2
Kevin Love,487,1,5,0.2,0,1,0.0,0,0,,2,2,4,1,0,0,0,0,2,-2
Kevin Love,609,1,4,0.25,1,3,0.333,0,0,,1,1,2,1,0,0,0,0,3,3
Kevin Love,1096,2,9,0.222,1,4,0.25,0,0,,3,3,6,2,0,0,0,0,5,1
Kevin Love,396,2,3,0.667,0,0,,1,1,1.0,0,0,0,1,0,1,1,0,5,-2
Kevin Love,593,2,5,0.4,2,3,0.667,2,2,1.0,1,1,2,1,0,1,1,0,8,2
Kevin Love,989,4,8,0.5,2,3,0.667,3,3,1.0,1,1,2,2,0,2,2,0,13,0
J.R. Smith,532,0,1,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,0,2,0,-2
J.R. Smith,394,0,3,0.0,0,0,,0,0,,0,1,1,2,1,0,0,0,0,5
J.R. Smith,926,0,4,0.0,0,1,0.0,0,0,,1,1,2,2,1,0,0,2,0,3
J.R. Smith,601,3,5,0.6,0,1,0.0,0,2,0.0,0,2,2,1,0,0,0,0,6,-3
J.R. Smith,300,0,1,0.0,0,0,,2,2,1.0,0,1,1,0,0,0,0,2,2,0
J.R. Smith,901,3,6,0.5,0,1,0.0,2,4,0.5,0,3,3,1,0,0,0,2,8,-3
Timofey Mozgov,380,1,3,0.333,0,0,,0,0,,2,1,3,0,0,1,1,0,2,3
Timofey Mozgov,368,0,1,0.0,0,0,,1,2,0.5,0,1,1,0,0,1,1,2,1,0
Timofey Mozgov,748,1,4,0.25,0,0,,1,2,0.5,2,2,4,0,0,2,2,2,3,3
Timofey Mozgov,506,1,2,0.5,0,0,,0,0,,0,1,1,2,0,0,1,0,2,-4
Timofey Mozgov,
Timofey Mozgov,506,1,2,0.5,0,0,,0,0,,0,1,1,2,0,0,1,0,2,-4
Tristan Thompson,340,0,3,0.0,0,0,,0,0,,0,1,1,0,1,0,1,1,0,-12
Tristan Thompson,111,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Tristan Thompson,451,0,3,0.0,0,0,,0,0,,0,1,1,0,1,0,1,1,0,-12
Tristan Thompson,324,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,1,0,5
Tristan Thompson,720,1,1,1.0,0,0,,0,0,,2,6,8,0,0,0,0,2,2,1
Tristan Thompson,1044,1,1,1.0,0,0,,0,0,,2,9,11,0,0,0,0,3,2,6
Matthew Dellavedova,241,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-7
Matthew Dellavedova,273,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,0,1,2,0
Matthew Dellavedova,514,1,2,0.5,0,0,,0,0,,0,1,1,2,0,0,1,1,2,-7
Matthew Dellavedova,338,1,3,0.333,0,2,0.0,0,0,,1,0,1,1,0,0,0,0,2,5
