,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,+/-,Term,Home Team,Win
0,12.0,20.0,3.0,5.0,1.0,4.0,2.0,6.0,7.0,4.0,1.0,5.0,8.0,5.0,1,1,0
1,13.0,21.0,3.0,6.0,2.0,4.0,2.0,7.0,9.0,3.0,1.0,4.0,8.0,50.0,2,1,0
2,25.0,41.0,6.0,11.0,3.0,8.0,4.0,13.0,16.0,7.0,2.0,9.0,16.0,55.0,3,1,0
3,5.0,19.0,1.0,4.0,7.0,8.0,4.0,3.0,1.0,1.0,0.0,2.0,7.0,-70.0,4,1,0
4,8.0,24.0,1.0,5.0,4.0,7.0,6.0,6.0,3.0,2.0,0.0,1.0,10.0,-30.0,5,1,0
5,13.0,43.0,2.0,9.0,11.0,15.0,10.0,9.0,4.0,3.0,0.0,3.0,17.0,-100.0,6,1,0
0,11.0,19.0,1.0,5.0,4.0,7.0,1.0,5.0,7.0,1.0,3.0,6.0,5.0,-5.0,1,0,1
1,7.0,16.0,0.0,3.0,7.0,10.0,2.0,5.0,3.0,4.0,1.0,4.0,5.0,-50.0,2,0,1
2,18.0,35.0,1.0,8.0,11.0,17.0,3.0,10.0,10.0,5.0,4.0,10.0,10.0,-55.0,3,0,1
3,14.0,21.0,0.0,1.0,4.0,5.0,2.0,9.0,12.0,1.0,3.0,3.0,7.0,70.0,4,0,1
4,10.0,18.0,0.0,4.0,7.0,10.0,3.0,10.0,6.0,1.0,1.0,4.0,6.0,30.0,5,0,1
5,24.0,39.0,0.0,5.0,11.0,15.0,5.0,19.0,18.0,2.0,4.0,7.0,13.0,100.0,6,0,1
0,11.0,26.0,1.0,2.0,3.0,4.0,5.0,8.0,7.0,3.0,1.0,4.0,3.0,-20.0,1,1,0
1,6.0,23.0,0.0,1.0,10.0,13.0,5.0,6.0,1.0,2.0,2.0,3.0,5.0,0.0,2,1,0
2,17.0,49.0,1.0,3.0,13.0,17.0,10.0,14.0,8.0,5.0,3.0,7.0,8.0,-20.0,3,1,0
3,6.0,19.0,2.0,4.0,9.0,13.0,4.0,9.0,3.0,3.0,4.0,5.0,7.0,10.0,4,1,0
4,5.0,10.0,0.0,1.0,10.0,13.0,3.0,7.0,2.0,1.0,3.0,8.0,6.0,-60.0,5,1,0
5,11.0,29.0,2.0,5.0,19.0,26.0,7.0,16.0,5.0,4.0,7.0,13.0,13.0,-50.0,6,1,0
0,9.0,22.0,2.0,6.0,6.0,6.0,5.0,10.0,5.0,2.0,3.0,6.0,4.0,20.0,1,0,1
1,9.0,20.0,1.0,4.0,3.0,6.0,5.0,8.0,6.0,2.0,2.0,3.0,10.0,0.0,2,0,1
2,18.0,42.0,3.0,10.0,9.0,12.0,10.0,18.0,11.0,4.0,5.0,9.0,14.0,20.0,3,0,1
3,7.0,22.0,1.0,4.0,6.0,7.0,5.0,8.0,2.0,4.0,2.0,5.0,7.0,-10.0,4,0,1
4,10.0,24.0,1.0,5.0,3.0,7.0,9.0,3.0,8.0,5.0,0.0,4.0,8.0,60.0,5,0,1
5,17.0,46.0,2.0,9.0,9.0,14.0,14.0,11.0,10.0,9.0,2.0,9.0,15.0,50.0,6,0,1
0,8.0,17.0,0.0,4.0,0.0,0.0,1.0,7.0,2.0,3.0,1.0,4.0,8.0,-5.0,1,1,1
1,6.0,16.0,2.0,7.0,11.0,18.0,4.0,4.0,2.0,2.0,0.0,1.0,6.0,-15.0,2,1,1
2,14.0,33.0,2.0,11.0,11.0,18.0,5.0,11.0,4.0,5.0,1.0,5.0,14.0,-20.0,3,1,1
3,8.0,17.0,3.0,6.0,8.0,10.0,4.0,9.0,5.0,3.0,2.0,5.0,3.0,65.0,4,1,1
4,10.0,18.0,1.0,3.0,6.0,7.0,2.0,8.0,3.0,2.0,0.0,4.0,4.0,-15.0,5,1,1
5,18.0,35.0,4.0,9.0,14.0,17.0,6.0,17.0,8.0,5.0,2.0,9.0,7.0,50.0,6,1,1
0,6.0,14.0,1.0,1.0,4.0,6.0,1.0,7.0,4.0,1.0,0.0,5.0,4.0,5.0,1,0,0
1,11.0,18.0,0.0,3.0,6.0,6.0,3.0,9.0,4.0,0.0,2.0,3.0,13.0,15.0,2,0,0
2,17.0,32.0,1.0,4.0,10.0,12.0,4.0,16.0,8.0,1.0,2.0,8.0,17.0,20.0,3,0,0
3,6.0,21.0,0.0,5.0,2.0,4.0,4.0,4.0,2.0,3.0,0.0,5.0,7.0,-65.0,4,0,0
4,10.0,21.0,5.0,12.0,5.0,7.0,2.0,6.0,9.0,2.0,2.0,3.0,6.0,15.0,5,0,0
5,16.0,42.0,5.0,17.0,7.0,11.0,6.0,10.0,11.0,5.0,2.0,8.0,13.0,-50.0,6,0,0
0,11.0,22.0,1.0,3.0,6.0,7.0,2.0,9.0,11.0,2.0,1.0,3.0,2.0,10.0,1,1,0
1,4.0,17.0,1.0,4.0,4.0,7.0,4.0,6.0,1.0,1.0,1.0,6.0,6.0,-40.0,2,1,0
2,15.0,39.0,2.0,7.0,10.0,14.0,6.0,15.0,12.0,3.0,2.0,9.0,8.0,-30.0,3,1,0
3,8.0,23.0,2.0,4.0,5.0,5.0,4.0,6.0,4.0,4.0,0.0,5.0,5.0,-35.0,4,1,0
4,4.0,13.0,3.0,7.0,9.0,10.0,1.0,7.0,4.0,1.0,1.0,5.0,4.0,-10.0,5,1,0
5,12.0,36.0,5.0,11.0,14.0,15.0,5.0,13.0,8.0,5.0,1.0,10.0,9.0,-45.0,6,1,0
0,12.0,24.0,1.0,3.0,2.0,2.0,2.0,8.0,7.0,0.0,1.0,3.0,6.0,-10.0,1,0,1
1,7.0,18.0,1.0,2.0,3.0,3.0,4.0,9.0,3.0,2.0,0.0,6.0,8.0,40.0,2,0,1
2,19.0,42.0,2.0,5.0,5.0,5.0,6.0,17.0,10.0,2.0,1.0,9.0,14.0,30.0,3,0,1
3,12.0,21.0,2.0,2.0,4.0,6.0,4.0,9.0,8.0,3.0,1.0,5.0,5.0,35.0,4,0,1
4,10.0,23.0,0.0,1.0,2.0,4.0,6.0,7.0,3.0,2.0,0.0,2.0,8.0,10.0,5,0,1
5,22.0,44.0,2.0,3.0,6.0,10.0,10.0,16.0,11.0,5.0,1.0,7.0,13.0,45.0,6,0,1
0,12.0,24.0,3.0,4.0,4.0,4.0,5.0,8.0,9.0,1.0,0.0,1.0,2.0,35.0,1,1,1
1,8.0,19.0,1.0,5.0,4.0,11.0,5.0,11.0,6.0,6.0,1.0,11.0,3.0,50.0,2,1,1
2,20.0,43.0,4.0,9.0,8.0,15.0,10.0,19.0,15.0,7.0,1.0,12.0,5.0,85.0,3,1,1
3,8.0,22.0,2.0,8.0,6.0,8.0,5.0,5.0,5.0,7.0,0.0,2.0,5.0,25.0,4,1,1
4,6.0,22.0,2.0,8.0,6.0,8.0,2.0,4.0,5.0,6.0,0.0,7.0,8.0,-55.0,5,1,1
5,14.0,44.0,4.0,16.0,12.0,16.0,7.0,9.0,10.0,13.0,0.0,9.0,13.0,-30.0,6,1,1
0,11.0,21.0,1.0,3.0,1.0,1.0,1.0,6.0,6.0,0.0,3.0,3.0,4.0,-35.0,1,0,0
1,4.0,19.0,1.0,4.0,2.0,2.0,3.0,9.0,2.0,6.0,2.0,10.0,6.0,-50.0,2,0,0
2,15.0,40.0,2.0,7.0,3.0,3.0,4.0,15.0,8.0,6.0,5.0,13.0,10.0,-85.0,3,0,0
3,6.0,13.0,1.0,2.0,6.0,10.0,1.0,8.0,6.0,2.0,1.0,8.0,6.0,-25.0,4,0,0
4,11.0,19.0,1.0,3.0,8.0,10.0,3.0,9.0,4.0,3.0,2.0,6.0,7.0,55.0,5,0,0
5,17.0,32.0,2.0,5.0,14.0,20.0,4.0,17.0,10.0,5.0,3.0,14.0,13.0,30.0,6,0,0
0,11.0,18.0,2.0,4.0,2.0,4.0,1.0,11.0,11.0,3.0,2.0,6.0,8.0,30.0,1,1,1
1,9.0,19.0,2.0,5.0,11.0,14.0,6.0,11.0,6.0,1.0,0.0,4.0,6.0,55.0,2,1,1
2,20.0,37.0,4.0,9.0,13.0,18.0,7.0,22.0,17.0,4.0,2.0,10.0,14.0,85.0,3,1,1
3,4.0,12.0,0.0,3.0,7.0,12.0,1.0,7.0,3.0,2.0,3.0,8.0,7.0,-70.0,4,1,1
4,7.0,14.0,2.0,6.0,8.0,10.0,3.0,11.0,6.0,0.0,3.0,3.0,5.0,55.0,5,1,1
5,11.0,26.0,2.0,9.0,15.0,22.0,4.0,18.0,9.0,2.0,6.0,11.0,12.0,-15.0,6,1,1
0,6.0,20.0,1.0,3.0,7.0,9.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,-30.0,1,0,0
1,9.0,26.0,0.0,4.0,2.0,3.0,4.0,2.0,6.0,1.0,1.0,2.0,8.0,-55.0,2,0,0
2,15.0,46.0,1.0,7.0,9.0,12.0,7.0,7.0,11.0,5.0,4.0,6.0,12.0,-85.0,3,0,0
3,11.0,20.0,1.0,3.0,6.0,7.0,3.0,9.0,8.0,5.0,0.0,5.0,7.0,70.0,4,0,0
4,6.0,25.0,1.0,3.0,0.0,2.0,5.0,5.0,2.0,1.0,0.0,1.0,6.0,-55.0,5,0,0
5,17.0,45.0,2.0,6.0,6.0,9.0,8.0,14.0,10.0,6.0,0.0,6.0,13.0,15.0,6,0,0
0,10.0,19.0,2.0,6.0,3.0,4.0,3.0,4.0,9.0,4.0,0.0,5.0,3.0,50.0,1,1,1
1,11.0,23.0,5.0,8.0,1.0,1.0,4.0,7.0,6.0,0.0,1.0,4.0,10.0,20.0,2,1,1
2,21.0,42.0,7.0,14.0,4.0,5.0,7.0,11.0,15.0,4.0,1.0,9.0,13.0,70.0,3,1,1
3,8.0,22.0,2.0,4.0,5.0,6.0,4.0,6.0,6.0,2.0,1.0,2.0,6.0,-20.0,4,1,1
4,6.0,14.0,1.0,3.0,5.0,8.0,2.0,10.0,5.0,2.0,2.0,5.0,6.0,15.0,5,1,1
5,14.0,36.0,3.0,7.0,10.0,14.0,6.0,16.0,11.0,4.0,3.0,7.0,12.0,-5.0,6,1,1
0,7.0,15.0,0.0,0.0,1.0,2.0,4.0,6.0,5.0,3.0,1.0,8.0,7.0,-50.0,1,0,0
1,6.0,16.0,0.0,2.0,12.0,14.0,2.0,7.0,2.0,3.0,0.0,4.0,3.0,-20.0,2,0,0
2,13.0,31.0,0.0,2.0,13.0,16.0,6.0,13.0,7.0,6.0,1.0,12.0,10.0,-70.0,3,0,0
3,9.0,18.0,2.0,4.0,7.0,8.0,1.0,10.0,3.0,1.0,5.0,4.0,3.0,20.0,4,0,0
4,3.0,16.0,2.0,10.0,7.0,8.0,3.0,7.0,3.0,3.0,1.0,4.0,7.0,-15.0,5,0,0
5,12.0,34.0,4.0,14.0,14.0,16.0,4.0,17.0,6.0,4.0,6.0,8.0,10.0,5.0,6,0,0
0,10.0,19.0,0.0,1.0,4.0,5.0,1.0,8.0,5.0,1.0,6.0,4.0,5.0,45.0,1,1,1
1,3.0,13.0,0.0,2.0,9.0,13.0,1.0,4.0,2.0,3.0,2.0,9.0,3.0,-50.0,2,1,1
2,13.0,32.0,0.0,3.0,13.0,18.0,2.0,12.0,7.0,4.0,8.0,13.0,8.0,-5.0,3,1,1
3,7.0,19.0,1.0,2.0,0.0,0.0,1.0,11.0,4.0,2.0,3.0,2.0,2.0,20.0,4,1,1
4,11.0,23.0,2.0,3.0,4.0,5.0,6.0,4.0,7.0,0.0,1.0,1.0,3.0,5.0,5,1,1
5,18.0,42.0,3.0,5.0,4.0,5.0,7.0,15.0,11.0,2.0,4.0,3.0,5.0,25.0,6,1,1
0,5.0,22.0,0.0,2.0,5.0,8.0,6.0,9.0,2.0,1.0,0.0,3.0,4.0,-45.0,1,0,0
1,11.0,18.0,0.0,1.0,3.0,4.0,2.0,8.0,10.0,7.0,1.0,7.0,7.0,50.0,2,0,0
2,16.0,40.0,0.0,3.0,8.0,12.0,8.0,17.0,12.0,8.0,1.0,10.0,11.0,5.0,3,0,0
3,4.0,16.0,0.0,4.0,3.0,4.0,1.0,10.0,3.0,1.0,1.0,3.0,5.0,-20.0,4,0,0
